Sl no,Comment,Comment_Tokens
196,why are you lying joe  this man lives in your head rent free doesnt he,"['lying', 'joe', 'man', 'lives', 'head', 'rent', 'free', 'doesnt']"
197,jakesteel ive posted it all over this thread not wasting my time on you and yes he said disinfectant not bleach bleach os a type of disinfectant think about it is it better or worse to not specify what kind of disinfectant,"['jakesteel', 'ive', 'posted', 'thread', 'wasting', 'time', 'yes', 'said', 'disinfectant', 'bleach', 'bleach', 'os', 'type', 'disinfectant', 'think', 'better', 'worse', 'specify', 'kind', 'disinfectant']"
198,lies,['lies']
199,andre hahaha youd be suprised,"['andre', 'hahaha', 'youd', 'suprised']"
200,the ignorance of trump is so apparent in everything he says and does he needs to be removed from any presidential ballot hes a convicted felon any convicted felon isnt allowed to vote in our elections how is it even conceivable that he is still being concidered and the lead of a major political party oh right its the republicans,"['ignorance', 'trump', 'apparent', 'everything', 'says', 'needs', 'removed', 'presidential', 'ballot', 'hes', 'convicted', 'felon', 'convicted', 'felon', 'isnt', 'allowed', 'vote', 'elections', 'even', 'conceivable', 'still', 'concidered', 'lead', 'major', 'political', 'party', 'oh', 'right', 'republicans']"
201,No Comment,"['No', 'Comment']"
202,what about the economy,['economy']
203,abortion is literally prebirth infanticide,"['abortion', 'literally', 'prebirth', 'infanticide']"
204,what you mean to say you old man is that millions of women are now not allowed to kill their babies,"['mean', 'say', 'old', 'man', 'millions', 'women', 'allowed', 'kill', 'babies']"
205,No Comment,"['No', 'Comment']"
206,your lying joe every time you open your mouth nothing but lies pours out you done nothing to help our country you have destroyed our economy and our country you put people out of jobs your so busy helping other countries what about us joe when will you help the united states of americayour out in november trump will be getting my vote he may done some wrong but so have you go back to your nursing home and stay there,"['lying', 'joe', 'every', 'time', 'open', 'mouth', 'nothing', 'lies', 'pours', 'done', 'nothing', 'help', 'country', 'destroyed', 'economy', 'country', 'put', 'people', 'jobs', 'busy', 'helping', 'countries', 'us', 'joe', 'help', 'united', 'states', 'americayour', 'november', 'trump', 'getting', 'vote', 'may', 'done', 'wrong', 'go', 'back', 'nursing', 'home', 'stay']"
207,blondiechickhern  project much,"['blondiechickhern', 'project', 'much']"
208,vote blue  as if your life liberty and pursuit of happiness depends upon it it does roevember bluetsunami medicaldecisions,"['vote', 'blue', 'life', 'liberty', 'pursuit', 'happiness', 'depends', 'upon', 'roevember', 'bluetsunami', 'medicaldecisions']"
209,blondiechickhern bad news blondiethe red patriarchy will discard you like an empty bag of potato chips all women deserve autonomy safety dignity and the right to pursue happiness unencumbered  votebluetosaveamerica codifyroe,"['blondiechickhern', 'bad', 'news', 'blondie', 'red', 'patriarchy', 'discard', 'like', 'empty', 'bag', 'potato', 'chips', 'women', 'deserve', 'autonomy', 'safety', 'dignity', 'right', 'pursue', 'happiness', 'unencumbered', 'votebluetosaveamerica', 'codifyroe']"
210,but thats what those felon fanatics mean by maga they want america to go back to being a straight white male dominated and women just being property and replacements for their moms they can get intimate with and not face so much punishment when they cheat maybe even going back to being a one income household which isnt possible anymore,"['thats', 'felon', 'fanatics', 'mean', 'maga', 'want', 'america', 'go', 'back', 'straight', 'white', 'male', 'dominated', 'women', 'property', 'replacements', 'moms', 'get', 'intimate', 'face', 'much', 'punishment', 'cheat', 'maybe', 'even', 'going', 'back', 'one', 'income', 'household', 'isnt', 'possible', 'anymore']"
211,thats my wordsjoebiden,"['thats', 'wordsjoebiden']"
212,piratglitch  this is the exact response i knew you would give  just some cnn  brainwashing words like  dictator and threat to democracy  so pathetic you are honestly just smart enough to discuss politics you clearly know nothing about it you make false claims like trump will destroy america yet cant explain why or how you ignore the facts that he had the best economy lowest unemployment rate  and  inflation no wars peace in the middle east and so much more these are facts you cant back up anything you say you just repeat what cnn tells you i told you that you could not back up any of your false accusations with any facts or knowledge you only being able to parrot cnn tells me all i need to know about how indoctrinated and uneducated you are with politics,"['piratglitch', 'exact', 'response', 'knew', 'would', 'give', 'cnn', 'brainwashing', 'words', 'like', 'dictator', 'threat', 'democracy', 'pathetic', 'honestly', 'smart', 'enough', 'discuss', 'politics', 'clearly', 'know', 'nothing', 'make', 'false', 'claims', 'like', 'trump', 'destroy', 'america', 'yet', 'cant', 'explain', 'ignore', 'facts', 'best', 'economy', 'lowest', 'unemployment', 'rate', 'inflation', 'wars', 'peace', 'middle', 'east', 'much', 'facts', 'cant', 'back', 'anything', 'say', 'repeat', 'cnn', 'tells', 'told', 'could', 'back', 'false', 'accusations', 'facts', 'knowledge', 'able', 'parrot', 'cnn', 'tells', 'need', 'know', 'indoctrinated', 'uneducated', 'politics']"
213,hey joe where was jill while you were showering with ashley,"['hey', 'joe', 'jill', 'showering', 'ashley']"
214,thank you sir  doctorpatient privilege is the law many places hipaa is set up to keep other people out of your healthcare  prosecute those who illegally break privacy laws,"['thank', 'sir', 'doctorpatient', 'privilege', 'law', 'many', 'places', 'hipaa', 'set', 'keep', 'people', 'healthcare', 'prosecute', 'illegally', 'break', 'privacy', 'laws']"
215,theofficialiancarr buddy its the truth though everything you actually said there isnt facts youre so quick to call me a parrot but you have yet to tell me what your news source is,"['theofficialiancarr', 'buddy', 'truth', 'though', 'everything', 'actually', 'said', 'isnt', 'facts', 'youre', 'quick', 'call', 'parrot', 'yet', 'tell', 'news', 'source']"
216,piratglitch you literally cant back up a single thing you say you have zero facts  zero information zero knowledge on anything political everything i said is very easily verified fact go to the government archives and you can see all of trumps numbers best economy lowest unemployment rate  inflation all of these things are common knowledge to the educated public you accuse trump of so many horrible things  say he will destroy america and destroy democracy but have zero evidence or facts to back it up you have absolutely nothing of value to bring to the conversation just cnn propaganda and lies,"['piratglitch', 'literally', 'cant', 'back', 'single', 'thing', 'say', 'zero', 'facts', 'zero', 'information', 'zero', 'knowledge', 'anything', 'political', 'everything', 'said', 'easily', 'verified', 'fact', 'go', 'government', 'archives', 'see', 'trumps', 'numbers', 'best', 'economy', 'lowest', 'unemployment', 'rate', 'inflation', 'things', 'common', 'knowledge', 'educated', 'public', 'accuse', 'trump', 'many', 'horrible', 'things', 'say', 'destroy', 'america', 'destroy', 'democracy', 'zero', 'evidence', 'facts', 'back', 'absolutely', 'nothing', 'value', 'bring', 'conversation', 'cnn', 'propaganda', 'lies']"
217,theofficialiancarr hmmmm no trump had lower employment i just looked again lmfao its fact that trumps presidency was bad almost everything that youre spewing is fox news and truth social verbal diarrhea,"['theofficialiancarr', 'hmmmm', 'trump', 'lower', 'employment', 'looked', 'lmfao', 'fact', 'trumps', 'presidency', 'bad', 'almost', 'everything', 'youre', 'spewing', 'fox', 'news', 'truth', 'social', 'verbal', 'diarrhea']"
218,piratglitch you are either really dumb or you didnt look before china virus unemployment  best economy inflation was  this is very common knowledge non of these facts are from the news i dont know what truth social is this is just very easily verified information now explain how trump will destroy america how will trump destroy democracy dont just repeat your cnn nonsense use facts and evidence to back up what you say,"['piratglitch', 'either', 'really', 'dumb', 'didnt', 'look', 'china', 'virus', 'unemployment', 'best', 'economy', 'inflation', 'common', 'knowledge', 'non', 'facts', 'news', 'dont', 'know', 'truth', 'social', 'easily', 'verified', 'information', 'explain', 'trump', 'destroy', 'america', 'trump', 'destroy', 'democracy', 'dont', 'repeat', 'cnn', 'nonsense', 'use', 'facts', 'evidence', 'back', 'say']"
219,piratglitch before the coronavirus spread from china across the globe president trump helped america build its strongest economy in history median household incomes rose to their highest level ever in  while the poverty rate hit an alltime low under the trump administration more americans were employed than ever before millionand the unemployment rate fell to a year low the unemployment rates for africanamericans hispanicamericans and americans without a highschool diploma all hit record lows while the trump bluecollar boom saw wages grow faster for workers than for managers or supervisors,"['piratglitch', 'coronavirus', 'spread', 'china', 'across', 'globe', 'president', 'trump', 'helped', 'america', 'build', 'strongest', 'economy', 'history', 'median', 'household', 'incomes', 'rose', 'highest', 'level', 'ever', 'poverty', 'rate', 'hit', 'alltime', 'low', 'trump', 'administration', 'americans', 'employed', 'ever', 'millionand', 'unemployment', 'rate', 'fell', 'year', 'low', 'unemployment', 'rates', 'africanamericans', 'hispanicamericans', 'americans', 'without', 'highschool', 'diploma', 'hit', 'record', 'lows', 'trump', 'bluecollar', 'boom', 'saw', 'wages', 'grow', 'faster', 'workers', 'managers', 'supervisors']"
220,doggydash trump dont even hate trans people your just being transphobic thats cool tho put others down to make your self feel like a big badass,"['doggydash', 'trump', 'dont', 'even', 'hate', 'trans', 'people', 'transphobic', 'thats', 'cool', 'tho', 'put', 'others', 'make', 'self', 'feel', 'like', 'big', 'badass']"
221,abuse of woman continues  disgusting,"['abuse', 'woman', 'continues', 'disgusting']"
222,no comment,['comment']
223,ferolights vote blue for democracy,"['ferolights', 'vote', 'blue', 'democracy']"
224,vote blue biden for better america we trust only biden,"['vote', 'blue', 'biden', 'better', 'america', 'trust', 'biden']"
225,piratglitch this is the exact brainless unoriginal copy paste response from the uneducated weak minded sheep who cant think for themselves you cant answer a simple question you cant back up any of your false accusations you have nothing of value to add to any conversation just a brainwashed cnn mainstream media zombie who has never had an original thought in his life  pathetic you are the problem with our country a total embarrassment,"['piratglitch', 'exact', 'brainless', 'unoriginal', 'copy', 'paste', 'response', 'uneducated', 'weak', 'minded', 'sheep', 'cant', 'think', 'cant', 'answer', 'simple', 'question', 'cant', 'back', 'false', 'accusations', 'nothing', 'value', 'add', 'conversation', 'brainwashed', 'cnn', 'mainstream', 'media', 'zombie', 'never', 'original', 'thought', 'life', 'pathetic', 'problem', 'country', 'total', 'embarrassment']"
226,vote blue ,"['vote', 'blue']"
227,theofficialiancarr took ya long enough old man go look at the statistics and the data theyre all i need to back up my arguments your facts and beliefs are nothing but conspiracy theories and flights of fancy come up with something new to call me maybe or are you too senile for that and cant remember you said it also its going to a pleasure to reflect on this whole little debate when trump loses again,"['theofficialiancarr', 'took', 'ya', 'long', 'enough', 'old', 'man', 'go', 'look', 'statistics', 'data', 'theyre', 'need', 'back', 'arguments', 'facts', 'beliefs', 'nothing', 'conspiracy', 'theories', 'flights', 'fancy', 'come', 'something', 'new', 'call', 'maybe', 'senile', 'cant', 'remember', 'said', 'also', 'going', 'pleasure', 'reflect', 'whole', 'little', 'debate', 'trump', 'loses']"
228,you better read numbers  there hotshot thats where god lays out how and when to have an abortion,"['better', 'read', 'numbers', 'hotshot', 'thats', 'god', 'lays', 'abortion']"
229,thehappydaddo wrong,"['thehappydaddo', 'wrong']"
230,i knew  of those victims personally,"['knew', 'victims', 'personally']"
231,because of you millions on palestinians have been displaced and thousands martyred shame on you you have the blood of the innocent on your hands the us has made a fool of itself on an international stage with you leading the charge we see through you lies and greedy continuation of this war us is the biggest threat to world peace now even more so than israhell,"['millions', 'palestinians', 'displaced', 'thousands', 'martyred', 'shame', 'blood', 'innocent', 'hands', 'us', 'made', 'fool', 'international', 'stage', 'leading', 'charge', 'see', 'lies', 'greedy', 'continuation', 'war', 'us', 'biggest', 'threat', 'world', 'peace', 'even', 'israhell']"
